drive,age,colour,type,date,value
Electric,0-5 years,Yellow,Sport,2016-03-31,1.5334840175401645
Electric,0-5 years,Yellow,Sport,2016-04-30,-1.1048295767826668
Electric,0-5 years,Yellow,Sport,2016-05-31,0.03669532130926114
Electric,0-5 years,Yellow,Sport,2016-06-30,-0.0704679771560556
Electric,0-5 years,Yellow,Sport,2016-07-31,0.7741067058870679
Electric,0-5 years,Yellow,Sport,2016-08-31,-0.7690593689225426
Electric,0-5 years,Yellow,Sport,2016-09-30,-0.11594993302316209
Electric,0-5 years,Yellow,Sport,2016-10-31,1.0960188386142813
Electric,0-5 years,Yellow,Sport,2016-11-30,0.3375632821080372
Electric,0-5 years,Yellow,Sport,2016-12-31,-0.8038695762627458
Electric,0-5 years,Yellow,Sport,2017-01-31,-0.001587486577224705
Electric,0-5 years,Yellow,Sport,2017-02-28,-2.4631879524145295
Electric,0-5 years,Yellow,Sport,2017-03-31,0.4097529127450238
Electric,0-5 years,Yellow,Sedan,2016-03-31,-1.2549332454479365
Electric,0-5 years,Yellow,Sedan,2016-04-30,-0.9658731852688552
Electric,0-5 years,Yellow,Sedan,2016-05-31,-1.3799292475679157
Electric,0-5 years,Yellow,Sedan,2016-06-30,-0.7404821184237089
Electric,0-5 years,Yellow,Sedan,2016-07-31,0.21335500468577562
Electric,0-5 years,Yellow,Sedan,2016-08-31,-0.034863292102361956
Electric,0-5 years,Yellow,Sedan,2016-09-30,2.73399725129323
Electric,0-5 years,Yellow,Sedan,2016-10-31,-0.33566961162557235
Electric,0-5 years,Yellow,Sedan,2016-11-30,-0.1745985828505462
Electric,0-5 years,Yellow,Sedan,2016-12-31,-0.43817093551296277
Electric,0-5 years,Yellow,Sedan,2017-01-31,0.6925150412709037
Electric,0-5 years,Yellow,Sedan,2017-02-28,0.0077093866975489625
Electric,0-5 years,Yellow,Sedan,2017-03-31,1.2621470951748763
Electric,0-5 years,Yellow,Supermini,2016-03-31,-0.3029484993406615
Electric,0-5 years,Yellow,Supermini,2016-04-30,-0.4631276199871605
Electric,0-5 years,Yellow,Supermini,2016-05-31,-0.3283495464004416
Electric,0-5 years,Yellow,Supermini,2016-06-30,-0.918101312852563
Electric,0-5 years,Yellow,Supermini,2016-07-31,0.4109804373412157
Electric,0-5 years,Yellow,Supermini,2016-08-31,-0.0959269390774703
Electric,0-5 years,Yellow,Supermini,2016-09-30,0.6578675508967633
Electric,0-5 years,Yellow,Supermini,2016-10-31,-0.6436078622231602
Electric,0-5 years,Yellow,Supermini,2016-11-30,-1.177253583901125
Electric,0-5 years,Yellow,Supermini,2016-12-31,0.13287292591276523
Electric,0-5 years,Yellow,Supermini,2017-01-31,-0.0753977097396237
Electric,0-5 years,Yellow,Supermini,2017-02-28,2.7143097482844882
Electric,0-5 years,Yellow,Supermini,2017-03-31,-0.7579128958863638
Electric,0-5 years,Blue,Sport,2016-03-31,-0.9310961450359961
Electric,0-5 years,Blue,Sport,2016-04-30,1.2525095106409578
Electric,0-5 years,Blue,Sport,2016-05-31,-0.9597610961071419
Electric,0-5 years,Blue,Sport,2016-06-30,-2.07514892080069
Electric,0-5 years,Blue,Sport,2016-07-31,-0.04948305400800402
Electric,0-5 years,Blue,Sport,2016-08-31,1.617683056009402
Electric,0-5 years,Blue,Sport,2016-09-30,-0.2708373741784048
Electric,0-5 years,Blue,Sport,2016-10-31,-0.5347696409634981
Electric,0-5 years,Blue,Sport,2016-11-30,-0.7656910273013459
Electric,0-5 years,Blue,Sport,2016-12-31,1.0204571474774595
Electric,0-5 years,Blue,Sport,2017-01-31,-0.3663459148594215
Electric,0-5 years,Blue,Sport,2017-02-28,-0.03538457602465594
Electric,0-5 years,Blue,Sport,2017-03-31,-0.4566588457206288
Electric,0-5 years,Blue,Sedan,2016-03-31,0.41519431408929686
Electric,0-5 years,Blue,Sedan,2016-04-30,0.12261616822819443
Electric,0-5 years,Blue,Sedan,2016-05-31,0.8785351057714512
Electric,0-5 years,Blue,Sedan,2016-06-30,0.6240652872208072
Electric,0-5 years,Blue,Sedan,2016-07-31,-0.7064853740600385
Electric,0-5 years,Blue,Sedan,2016-08-31,1.3759481975394887
Electric,0-5 years,Blue,Sedan,2016-09-30,-0.5997113782028213
Electric,0-5 years,Blue,Sedan,2016-10-31,-1.090656263147005
Electric,0-5 years,Blue,Sedan,2016-11-30,-0.8122629755692643
Electric,0-5 years,Blue,Sedan,2016-12-31,0.9988662503283855
Electric,0-5 years,Blue,Sedan,2017-01-31,1.2849303470608862
Electric,0-5 years,Blue,Sedan,2017-02-28,-0.9302036720685095
Electric,0-5 years,Blue,Sedan,2017-03-31,0.8008028687622826
Electric,0-5 years,Blue,Supermini,2016-03-31,0.9547448325617307
Electric,0-5 years,Blue,Supermini,2016-04-30,-0.6287241537755439
Electric,0-5 years,Blue,Supermini,2016-05-31,1.2714091716219393
Electric,0-5 years,Blue,Supermini,2016-06-30,-1.5801891611116063
Electric,0-5 years,Blue,Supermini,2016-07-31,-0.4138090855028948
Electric,0-5 years,Blue,Supermini,2016-08-31,0.3771365781836007
Electric,0-5 years,Blue,Supermini,2016-09-30,0.9925847246110582
Electric,0-5 years,Blue,Supermini,2016-10-31,-0.5678412864805508
Electric,0-5 years,Blue,Supermini,2016-11-30,2.1668404747102827
Electric,0-5 years,Blue,Supermini,2016-12-31,-1.101432058042423
Electric,0-5 years,Blue,Supermini,2017-01-31,-1.0652874236232786
Electric,0-5 years,Blue,Supermini,2017-02-28,-0.13111470558263408
Electric,0-5 years,Blue,Supermini,2017-03-31,0.5944456981945622
Electric,0-5 years,Green,Sport,2016-03-31,-0.7838152308819749
Electric,0-5 years,Green,Sport,2016-04-30,-1.3936717909447185
Electric,0-5 years,Green,Sport,2016-05-31,1.4283745085283037
Electric,0-5 years,Green,Sport,2016-06-30,-0.8487336617645573
Electric,0-5 years,Green,Sport,2016-07-31,-0.35917833383202113
Electric,0-5 years,Green,Sport,2016-08-31,-0.383016765863572
Electric,0-5 years,Green,Sport,2016-09-30,-0.8530700377798288
Electric,0-5 years,Green,Sport,2016-10-31,-1.0357209096267526
Electric,0-5 years,Green,Sport,2016-11-30,1.0261672736662475
Electric,0-5 years,Green,Sport,2016-12-31,-0.4070073250299612
Electric,0-5 years,Green,Sport,2017-01-31,-0.2546894154489571
Electric,0-5 years,Green,Sport,2017-02-28,0.6434415362692597
Electric,0-5 years,Green,Sport,2017-03-31,3.2378177693381056e-4
Electric,0-5 years,Green,Sedan,2016-03-31,1.0373263111108193
Electric,0-5 years,Green,Sedan,2016-04-30,-1.2514838374115056
Electric,0-5 years,Green,Sedan,2016-05-31,-1.2523533709815085
Electric,0-5 years,Green,Sedan,2016-06-30,-0.36538204695221366
